,origin,destination,distance meters,time sec,weight,travel mode
0,2413,2414,1324,1008,17,WALKING
1,2413,2417,371,273,50,WALKING
2,2413,2419,1034,799,216,WALKING
3,2414,2415,3551,677,1,TRANSIT
4,2414,2433,12346,2257,1,TRANSIT
5,2414,2438,3645,642,2,TRANSIT
6,2414,2572,13731,2534,11,TRANSIT
7,2414,2574,13462,2478,2,TRANSIT
8,2414,2575,7515,1375,1,TRANSIT
9,2414,3096,170,131,1,WALKING
10,2415,2416,1906,1410,127,WALKING
11,2415,2422,10064,1798,1,TRANSIT
12,2415,2433,8821,1560,2,TRANSIT
13,2415,2572,10206,1837,74,TRANSIT
14,2415,2761,18792,3394,2,TRANSIT
15,2415,2469,13704,2461,11,TRANSIT
16,2415,2766,24156,4384,1,TRANSIT
17,2415,2770,23437,4239,11,TRANSIT
18,2415,2771,24439,4446,1,TRANSIT
19,2415,2777,22214,4046,4,TRANSIT
20,2415,2778,21653,3925,1,TRANSIT
21,2415,2779,21915,3983,1,TRANSIT
22,2415,2524,21285,3852,3,TRANSIT
23,2415,2526,20699,3776,1,TRANSIT
24,2415,2528,20611,3715,1,TRANSIT
25,2415,2555,17292,3118,1,TRANSIT
26,2415,2784,15923,2882,2,TRANSIT
27,2415,2787,11542,2071,2,TRANSIT
28,2415,2565,18792,3394,1,TRANSIT
29,2415,2567,18399,3318,1,TRANSIT
30,2415,2789,12335,2226,2,TRANSIT
31,2415,2574,9937,1781,2,TRANSIT
32,2415,2575,3990,678,1,TRANSIT
33,2416,2743,2672,2026,154,WALKING
34,2416,2432,4367,3204,1,WALKING
35,2416,114,3042,2228,1,WALKING
36,2417,2418,2496,463,1,TRANSIT
37,2417,2423,16371,3071,1,TRANSIT
38,2417,2427,1233,221,6,TRANSIT
39,2417,2437,4972,980,1,TRANSIT
40,2417,2440,9760,1848,32,TRANSIT
41,2417,2445,15771,2966,2,TRANSIT
42,2417,2543,2668,547,5,TRANSIT
43,2417,2549,6146,1190,1,TRANSIT
44,2417,2650,7908,1523,1,TRANSIT
45,2418,103,627,484,278,WALKING
46,2418,2743,3931,703,2,TRANSIT
47,2418,2829,4554,794,11,TRANSIT
48,2418,2423,18844,3530,1,TRANSIT
49,2418,2437,7446,1439,1,TRANSIT
50,2418,2485,8402,1468,15,TRANSIT
51,2418,2751,10045,1786,1,TRANSIT
52,2418,2541,14504,2694,32,TRANSIT
53,2418,2475,10948,1976,20,TRANSIT
54,2418,2483,14811,2783,80,TRANSIT
55,2418,2623,13996,2595,23,TRANSIT
56,2418,2548,13329,2438,32,TRANSIT
57,2418,2489,10279,1839,17,TRANSIT
58,2418,2466,13583,2502,6,TRANSIT
59,2418,2547,13848,2553,1,TRANSIT
60,2418,2783,5606,965,2,TRANSIT
61,2418,2552,12065,2196,2,TRANSIT
62,2418,2553,11649,2117,1,TRANSIT
63,2418,2554,12425,2268,2,TRANSIT
64,2418,2617,12974,2366,2,TRANSIT
65,2418,2806,7669,1322,5,TRANSIT
66,2418,2818,11408,2062,18,TRANSIT
67,2418,2649,9728,1719,1,TRANSIT
68,2418,2440,12233,2307,1,TRANSIT
69,2418,2650,10381,1982,1,TRANSIT
70,103,2830,611,478,5,WALKING
71,2419,2420,2318,454,11,TRANSIT
72,2419,2466,11488,2203,29,TRANSIT
73,2419,2475,8853,1678,68,TRANSIT
74,2419,2482,12574,2480,44,TRANSIT
75,2419,2485,6306,1169,3,TRANSIT
76,2419,2489,8184,1541,25,TRANSIT
77,2419,2498,8592,1621,2,TRANSIT
78,2419,2516,12574,2480,23,TRANSIT
79,2419,2547,11752,2255,1,TRANSIT
80,2419,2548,11233,2140,1,TRANSIT
81,2419,2552,9969,1899,2,TRANSIT
82,2419,2553,9553,1819,1,TRANSIT
83,2419,2554,10330,1971,1,TRANSIT
84,2419,2617,10878,2070,2,TRANSIT
85,2419,2623,11900,2297,2,TRANSIT
86,2419,2649,7632,1420,1,TRANSIT
87,2420,2421,139,105,11,WALKING
88,2420,2438,6840,1019,115,TRANSIT
89,2420,2829,138,130,115,WALKING
90,2421,2422,11753,2100,2,TRANSIT
91,2421,2469,15393,2763,12,TRANSIT
92,2421,2524,22974,4154,5,TRANSIT
93,2421,2526,22388,4078,4,TRANSIT
94,2421,2528,22300,4017,4,TRANSIT
95,2421,2555,18981,3420,4,TRANSIT
96,2421,2565,20482,3696,4,TRANSIT
97,2421,2567,20089,3620,4,TRANSIT
98,2421,2829,145,126,33,WALKING
99,2421,2575,5680,989,3,TRANSIT
100,2421,2431,10820,2058,1,TRANSIT
101,2421,2439,7852,1469,2,TRANSIT
102,2421,2438,6982,1058,1,TRANSIT
103,2422,104,816,610,180,WALKING
104,2422,2771,14391,2628,12,TRANSIT
105,2422,2852,14894,2744,14,TRANSIT
106,2422,2770,13389,2421,94,TRANSIT
107,2422,2761,8745,1576,2,TRANSIT
108,2422,2469,3656,643,16,TRANSIT
109,2422,2766,14109,2566,2,TRANSIT
110,2422,2789,2287,408,8,TRANSIT
111,2422,2857,14894,2744,7,TRANSIT
112,2422,2777,12166,2228,6,TRANSIT
113,2422,2778,11605,2107,1,TRANSIT
114,2422,2779,11867,2165,1,TRANSIT
115,2422,2524,11237,2034,3,TRANSIT
116,2422,2526,10651,1958,1,TRANSIT
117,2422,2528,10563,1897,1,TRANSIT
118,2422,2870,14752,2699,3,TRANSIT
119,2422,2555,7244,1300,1,TRANSIT
120,2422,2784,5876,1064,2,TRANSIT
121,2422,2565,8745,1576,1,TRANSIT
122,2422,2567,8352,1500,1,TRANSIT
123,2422,2937,13657,2479,1,TRANSIT
124,104,2845,1059,778,61,WALKING
125,104,2873,2070,1559,35,WALKING
126,104,2787,2109,1552,2,WALKING
127,104,2571,4270,3190,1,WALKING
128,104,1304,3855,2884,1,WALKING
129,104,1305,4136,3077,1,WALKING
130,104,1306,4148,3095,1,WALKING
131,104,2578,4456,3375,1,WALKING
132,2423,2424,434,336,7,WALKING
133,2423,2427,17019,3095,3,TRANSIT
134,2423,2947,11630,2070,1,TRANSIT
135,2423,3004,8439,1497,1,TRANSIT
136,2423,2949,3093,562,3,TRANSIT
137,2423,2446,413,334,3,WALKING
138,2424,2425,9193,1774,10,TRANSIT
139,2424,2948,459,344,1,WALKING
140,2424,2440,4756,858,2,TRANSIT
141,2425,2426,1572,1340,283,WALKING
142,2425,2745,5221,1061,2,TRANSIT
143,2425,2945,5135,923,147,TRANSIT
144,2425,2950,14834,2698,10,TRANSIT
145,2425,2447,11910,2155,1,TRANSIT
146,2425,2951,21099,3899,8,TRANSIT
147,2425,2450,19450,3579,1,TRANSIT
148,2425,2955,19178,3523,12,TRANSIT
149,2425,2448,22760,4215,59,TRANSIT
150,2425,2964,22561,4165,24,TRANSIT
151,2425,2990,21452,3966,4,TRANSIT
152,2425,2993,20384,3754,2,TRANSIT
153,2425,2999,16231,2920,3,TRANSIT
154,2426,108,4843,3531,1,WALKING
155,2427,2428,11162,2167,1,TRANSIT
156,2427,2431,7676,1486,2,TRANSIT
157,2427,2436,10772,2092,2,TRANSIT
158,2427,2439,4709,897,3,TRANSIT
159,2427,2540,303,235,2,WALKING
160,2427,2743,2669,461,2,TRANSIT
161,2427,2747,148,118,7,WALKING
162,2427,2947,5392,1005,1,TRANSIT
163,2427,2483,13793,2526,3,TRANSIT
164,2427,2489,9183,1605,2,TRANSIT
165,2428,2429,6012,1064,2,TRANSIT
166,2428,2830,9396,1832,2,TRANSIT
167,2428,2434,9026,1619,4,TRANSIT
168,2428,2433,12158,2252,2,TRANSIT
169,2428,111,465,350,219,WALKING
170,2428,2746,6035,1069,4,TRANSIT
171,2428,3042,3480,659,1,TRANSIT
172,2428,3043,10340,2009,1,TRANSIT
173,2428,3044,5797,1115,8,TRANSIT
174,2428,3090,3158,592,19,TRANSIT
175,2428,2579,15264,2860,32,TRANSIT
176,2428,2876,16392,3036,36,TRANSIT
177,2428,2572,13575,2533,86,TRANSIT
178,2428,2838,13925,2606,6,TRANSIT
179,2428,2580,14909,2787,9,TRANSIT
180,2428,2483,17051,3174,54,TRANSIT
181,2428,3047,11905,2200,13,TRANSIT
182,2428,2877,16763,3108,3,TRANSIT
183,2429,2430,1075,795,2,WALKING
184,2430,2746,1095,810,281,WALKING
185,2431,2432,2434,1785,4,WALKING
186,2431,2830,5910,1151,1,TRANSIT
187,2432,3042,2444,1796,258,WALKING
188,2432,3090,2430,1792,20,WALKING
189,2433,2433,37,30,7,WALKING
190,2433,2434,3159,614,4,TRANSIT
191,2433,2746,6138,1163,4,TRANSIT
192,2433,2846,292,231,37,WALKING
193,2433,2483,4879,898,21,TRANSIT
194,2433,2876,4220,760,3,TRANSIT
195,2433,2877,4591,832,2,TRANSIT
196,2433,2580,2737,511,6,TRANSIT
197,2433,2579,3092,584,2,TRANSIT
198,2433,2438,15533,2838,2,TRANSIT
199,2433,2881,3974,713,2,TRANSIT
200,2434,2435,653,484,282,WALKING
201,2434,2572,4575,920,90,TRANSIT
202,2434,2746,3022,535,1,TRANSIT
203,2434,2483,8039,1535,95,TRANSIT
204,2434,3047,2893,561,13,TRANSIT
205,2434,2876,7380,1397,38,TRANSIT
206,2434,2579,6252,1221,24,TRANSIT
